filename,xmin,ymin,xmax,ymax,angle,xloc,yloc,zloc
000099.txt,635.86,176.79,705.58,216.29,1.91,2.6,1.72,30.37
000104.txt,713.77,181.24,750.23,207.65,1.76,7.56,2.07,44.59
000107.txt,627.47,154.29,664.8,198.6,-1.64,2.41,1.7,49.9
000108.txt,862.56,148.89,932.93,247.96,-1.96,5.62,1.39,14.29
000111.txt,386.09,185.25,455.28,225.54,1.81,-7.11,1.86,27.32
000111.txt,490.26,176.93,516.06,192.21,1.77,-10.59,1.88,71.7
000113.txt,566.29,136.24,602.63,190.21,1.53,-1.95,1.19,51.93
000113.txt,0.0,173.43,36.44,215.69,2.14,-29.73,2.06,35.51
000114.txt,589.01,187.21,668.42,253.27,-1.59,0.35,1.73,17.14
000114.txt,325.53,175.96,390.57,216.45,1.89,-11.42,1.87,32.86
000116.txt,495.51,181.48,548.24,222.91,1.7,-3.54,1.91,29.23
000116.txt,563.32,177.53,606.36,208.9,-1.44,-1.36,1.91,40.16
000117.txt,787.95,180.39,1089.82,304.56,-0.46,4.44,1.68,10.14
000118.txt,841.06,198.52,902.78,304.38,1.7,3.44,1.49,9.22
000119.txt,381.63,186.6,479.85,256.4,1.8,-4.05,1.74,16.55
000119.txt,496.82,183.63,587.26,252.05,1.7,-1.53,1.67,17.03
000120.txt,346.63,185.82,485.85,278.21,1.86,-3.68,1.82,14.17
000120.txt,716.11,175.23,783.6,212.42,-1.0,6.4,1.73,33.03
000123.txt,602.41,176.05,634.63,198.55,1.68,0.6,1.67,48.73
000125.txt,335.04,187.99,374.41,208.15,1.92,-18.58,2.51,52.57
000131.txt,208.95,180.57,327.36,223.32,2.43,-13.04,1.81,27.73
000132.txt,749.9,175.12,774.76,194.98,-1.51,11.25,0.67,52.25
000134.txt,402.59,157.37,427.24,234.07,0.26,-4.61,1.26,17.02
000134.txt,1028.25,151.61,1157.03,185.9,-0.58,19.45,0.18,28.33
000135.txt,662.42,175.11,723.54,221.0,-1.68,2.87,1.62,25.96
000136.txt,689.44,163.46,724.52,190.31,1.7,6.1,1.06,45.27
000142.txt,530.82,167.68,560.49,197.37,1.67,-4.22,1.56,47.51
000145.txt,676.76,152.81,784.3,270.01,-2.2,2.02,1.37,11.91
000145.txt,997.76,173.67,1017.76,210.16,2.62,20.19,1.47,35.46
000146.txt,279.93,178.43,340.47,208.27,1.98,-15.34,1.74,37.02
000149.txt,679.66,173.04,756.77,244.46,-1.79,2.69,1.72,18.62
000152.txt,711.29,186.05,878.68,307.07,-1.8,2.66,1.76,11.53
000155.txt,212.99,197.16,278.75,236.85,1.82,-15.39,2.56,30.6
000159.txt,170.35,187.87,405.54,313.74,1.99,-4.5,1.72,10.67
000161.txt,388.79,190.96,463.73,241.62,1.81,-5.85,2.04,23.18
000161.txt,431.93,188.51,493.07,227.55,1.76,-5.89,2.06,29.06
000165.txt,287.29,164.14,471.26,259.37,-2.14,-5.02,1.63,15.29
000166.txt,296.49,172.8,339.4,192.06,-1.17,-22.58,1.45,55.87
000169.txt,784.78,177.12,1124.16,374.0,-1.96,2.76,1.68,6.69
000169.txt,0.0,179.47,272.67,340.49,0.63,-6.07,1.69,8.05
000169.txt,302.97,181.41,468.47,247.11,0.31,-5.56,1.77,18.03
000169.txt,633.13,179.03,659.07,198.79,-1.66,2.66,1.89,54.32
000173.txt,837.3,176.28,908.39,238.78,-1.65,7.08,1.7,19.74
000178.txt,888.15,190.98,1241.0,374.0,-2.24,2.88,1.63,3.52
000181.txt,504.07,171.83,565.27,197.31,3.14,-5.57,1.76,53.28
000182.txt,78.0,202.9,387.08,374.0,1.97,-3.72,1.78,7.78
000184.txt,659.04,175.49,688.54,202.59,-1.6,3.87,1.77,44.49
000186.txt,0.0,195.79,206.03,374.0,2.23,-5.86,1.77,7.09
000186.txt,511.4,155.13,597.79,199.79,-3.07,-4.56,2.18,60.21
000188.txt,846.8,157.66,1036.53,281.15,-1.84,5.34,1.54,12.35
000189.txt,413.95,145.37,453.59,193.64,2.33,-6.37,0.47,26.3
000190.txt,772.52,152.22,816.75,255.07,-1.78,3.04,1.18,11.82
000191.txt,509.94,159.01,550.48,205.11,-1.49,-4.89,1.16,46.04
000195.txt,681.44,172.68,696.84,205.37,-1.63,4.69,1.9,43.06
000198.txt,1210.51,113.56,1241.0,331.99,2.27,9.27,1.65,6.93
000201.txt,1112.43,127.41,1241.0,374.0,-2.75,2.89,1.61,0.88
000201.txt,560.14,180.73,607.61,214.73,-1.71,-1.31,1.87,33.9
000201.txt,406.54,173.86,417.9,201.26,1.61,-13.17,1.87,47.98
000203.txt,586.41,171.94,619.97,208.3,-1.58,-0.65,2.86,63.37
000213.txt,646.57,170.98,682.43,201.9,-1.67,3.22,1.68,43.63
000217.txt,562.18,178.55,594.26,206.23,1.58,-1.73,1.72,38.85
000219.txt,566.3,176.56,616.74,225.38,-1.56,-0.68,1.76,25.65
000219.txt,822.01,162.66,864.8,186.13,-1.86,18.58,1.03,57.69
000219.txt,869.99,157.33,936.14,190.37,-1.93,18.62,1.07,46.19
000219.txt,939.56,138.65,1050.54,190.57,-2.05,18.7,0.82,35.51
000223.txt,998.34,125.01,1241.0,374.0,-2.34,3.59,1.57,2.91
000226.txt,441.36,172.76,539.87,212.34,0.11,-6.29,2.02,38.24
000228.txt,421.45,165.38,501.45,200.66,2.33,-8.74,1.57,42.77
000229.txt,583.18,177.03,609.74,203.28,-1.57,-0.92,1.94,47.64
000230.txt,396.86,183.78,438.89,206.49,1.82,-14.0,2.37,52.75
000236.txt,480.25,183.11,543.62,226.2,-1.43,-3.34,1.31,25.49
000239.txt,646.3,177.29,711.21,201.68,3.09,4.29,1.78,45.69
000243.txt,1070.7,135.74,1238.26,198.38,-0.9,14.31,0.63,19.06
000244.txt,561.47,175.94,598.84,209.67,1.68,-1.69,2.02,41.52
000246.txt,571.3,177.37,609.7,212.39,-1.59,-0.9,1.23,35.13
000250.txt,26.43,196.96,252.9,345.96,1.8,-5.9,1.8,9.45
000251.txt,598.83,107.92,726.83,224.48,-0.45,1.92,1.27,23.28
000254.txt,632.82,178.59,724.49,214.71,-0.12,3.18,1.92,34.2
000259.txt,597.74,166.79,642.45,207.57,-1.57,0.76,0.97,29.34
000262.txt,635.97,177.32,669.6,204.85,-1.62,2.35,1.74,41.01
000264.txt,0.0,198.33,400.94,374.0,-1.12,-2.62,1.67,4.52
000264.txt,736.96,167.21,752.96,213.24,2.68,5.19,1.56,28.36
000264.txt,71.39,185.16,205.32,232.0,2.15,-15.23,1.77,23.52
000265.txt,760.59,163.39,784.48,220.28,-1.69,5.3,1.51,23.74
000267.txt,579.27,174.26,683.06,262.69,-1.7,0.28,1.65,15.02
000268.txt,550.79,169.64,715.78,328.61,-1.59,0.2,1.65,9.15
000268.txt,98.23,171.9,148.26,224.41,-1.02,-17.16,1.76,25.42
000269.txt,300.41,186.75,397.0,250.73,-1.81,-7.33,1.96,19.93
000274.txt,677.08,196.47,732.16,236.22,-1.7,3.64,2.35,28.57
000276.txt,589.8,176.25,632.11,218.39,-1.57,0.01,1.79,30.31
000277.txt,750.8,158.88,775.67,244.47,2.92,3.32,1.55,15.92
000284.txt,224.52,190.75,413.86,257.73,-2.77,-6.75,1.88,16.9
000284.txt,285.14,186.73,443.22,246.81,-2.78,-6.49,1.88,19.16
000286.txt,627.58,177.72,652.34,198.47,-1.65,2.21,1.88,54.51
000290.txt,464.5,153.54,539.83,362.15,-1.42,-0.96,1.52,6.44
000295.txt,814.65,137.35,905.29,302.14,-1.93,3.21,1.56,9.53
000295.txt,549.11,176.81,564.82,189.96,1.58,-6.32,2.01,86.18
000308.txt,857.26,144.11,965.8,179.92,2.68,13.7,-0.05,31.75
000310.txt,613.46,180.93,789.58,289.35,-1.91,1.26,1.61,11.93
000310.txt,550.26,175.17,644.51,244.53,-1.78,-0.47,1.68,18.68
000310.txt,275.06,191.43,339.86,242.11,1.66,-9.83,2.08,23.56
000311.txt,230.68,177.46,487.51,349.05,-1.31,-2.6,1.54,8.47
000311.txt,393.96,184.55,542.19,278.98,-1.32,-2.49,1.7,13.46
000311.txt,713.49,179.11,879.89,290.64,-1.79,2.63,1.52,11.23
000311.txt,553.74,176.47,586.85,206.69,-1.55,-2.21,1.82,40.55
000314.txt,1022.92,116.93,1071.19,168.9,-1.59,21.85,-0.23,36.23
000317.txt,315.87,175.41,331.54,224.89,1.42,-11.29,1.76,28.44
000318.txt,438.91,213.5,533.15,258.83,1.81,-3.15,2.07,18.56
000318.txt,626.67,189.43,671.36,218.24,1.86,2.18,2.42,39.96
000323.txt,704.29,172.82,803.3,254.27,-1.46,3.31,1.62,16.27
000330.txt,663.44,177.21,715.75,218.02,-1.7,3.06,1.68,28.68
000333.txt,503.21,169.49,592.05,206.89,0.87,-2.42,1.02,29.12
000334.txt,477.74,172.07,503.93,197.8,1.64,-12.1,2.46,73.53
000335.txt,752.69,181.01,1000.64,373.47,-1.86,2.42,1.68,7.25
000336.txt,558.66,166.6,584.6,192.66,1.59,-2.13,0.77,52.93
000337.txt,297.02,158.6,363.69,300.97,-2.78,-3.5,1.49,8.98
000342.txt,1060.72,121.83,1241.0,374.0,0.96,3.96,1.59,5.32
000347.txt,722.17,164.58,751.68,221.37,-1.76,4.29,1.6,24.68
000349.txt,250.72,188.18,385.56,257.82,2.03,-6.67,1.79,16.73
000350.txt,91.61,203.27,368.68,352.92,2.04,-4.53,1.85,9.16
000352.txt,760.92,175.17,1106.31,374.0,-1.92,2.78,1.56,7.43
000354.txt,673.44,171.49,682.73,199.83,1.6,4.41,1.73,46.87
000357.txt,334.51,181.23,406.12,221.77,-1.27,-9.12,1.3,27.78
000362.txt,696.42,182.69,843.91,280.75,-1.81,2.66,1.68,12.99
000362.txt,496.53,183.28,532.5,212.85,1.68,-5.57,2.25,42.25
000363.txt,563.79,178.09,580.4,192.53,1.61,-3.99,2.04,76.21
000364.txt,733.59,180.7,763.87,245.47,1.71,3.3,1.73,17.49
000365.txt,375.4,157.84,482.74,329.46,0.16,-1.83,1.45,7.24
000369.txt,696.02,188.46,800.12,261.42,-1.76,2.92,1.47,15.85
000370.txt,286.99,170.8,405.89,213.58,-2.96,-9.94,1.47,27.35
000371.txt,308.63,190.71,402.65,224.79,0.31,-12.08,2.4,34.31
000371.txt,182.02,194.6,288.29,230.25,0.48,-17.8,2.65,34.31
000374.txt,567.35,179.29,623.91,234.04,-1.55,-0.46,1.83,23.04
000375.txt,152.36,186.52,377.23,296.17,2.02,-5.12,1.53,11.45
000376.txt,317.26,192.09,391.2,233.8,1.86,-10.36,2.32,29.45
000377.txt,677.96,150.06,761.29,227.38,-1.67,3.18,1.51,22.0
000382.txt,857.81,160.13,1103.62,255.03,2.89,6.29,1.35,12.69
000382.txt,1125.07,156.83,1241.0,252.2,2.56,11.08,1.24,12.04
000382.txt,686.07,157.45,725.7,176.98,-0.96,7.04,0.29,52.99
000383.txt,80.49,181.86,116.16,272.96,0.74,-9.31,1.65,12.9
000383.txt,0.0,166.38,38.42,283.86,-2.33,-10.32,1.72,12.05
000384.txt,1095.73,185.07,1223.0,236.45,0.89,19.24,1.76,24.5
000384.txt,602.54,172.46,636.73,202.78,-1.64,0.72,1.09,36.84
000384.txt,615.06,156.57,671.39,282.46,0.85,0.64,1.45,10.75
000385.txt,505.9,180.2,564.96,228.71,1.67,-2.53,1.78,25.01
000386.txt,0.0,190.67,209.01,310.58,-0.96,-7.92,1.57,10.89
000389.txt,286.18,181.93,391.72,238.78,1.92,-7.96,1.79,21.46
000390.txt,478.55,182.18,520.33,225.26,1.6,-4.67,2.09,30.59
000393.txt,380.79,179.88,498.29,225.41,0.34,-5.96,1.78,25.26
000394.txt,120.44,158.83,163.77,272.88,-2.96,-7.7,1.59,12.0
000395.txt,93.42,179.73,346.66,288.36,-2.75,-6.35,1.76,11.95
000395.txt,720.78,175.82,861.11,229.83,2.87,6.17,1.89,25.02
000397.txt,888.59,220.02,1241.0,374.0,-2.28,2.91,1.7,3.38
000397.txt,276.87,183.57,461.62,243.88,0.28,-6.52,1.84,19.76
000397.txt,101.8,169.11,126.46,245.41,2.19,-11.91,1.73,17.36
000404.txt,142.94,186.08,260.39,238.86,-1.2,-12.31,1.47,22.05
000404.txt,379.97,183.36,419.63,210.15,-1.43,-11.91,1.34,41.31
000408.txt,468.04,170.73,546.7,233.79,1.75,-3.01,1.67,21.68
000408.txt,635.66,175.74,663.8,200.02,1.52,2.5,1.69,46.52
000415.txt,0.0,198.06,315.45,374.0,2.1,-4.45,1.78,6.9
000415.txt,204.87,180.64,357.39,236.47,0.46,-9.33,1.74,20.53
000415.txt,792.64,191.19,1168.05,374.0,-1.97,2.88,1.65,6.58
000417.txt,0.0,216.69,64.27,374.0,0.84,-8.09,2.04,6.78
000420.txt,479.52,164.58,599.67,250.22,-1.38,-1.43,1.51,16.11
000422.txt,94.96,162.19,191.3,373.0,-2.02,-3.96,1.65,6.12
000422.txt,364.05,155.72,433.37,281.3,1.7,-3.18,1.43,11.31
000423.txt,777.98,193.67,1108.47,374.0,-1.94,2.81,1.63,7.07
000423.txt,66.48,179.17,194.54,229.71,2.17,-14.9,1.65,22.6
000424.txt,714.47,179.8,886.14,249.89,-0.66,4.21,1.57,16.13
000424.txt,346.03,191.56,399.53,239.41,-1.58,-8.58,2.19,25.92
000424.txt,330.55,150.89,398.16,233.99,-1.59,-11.06,2.43,32.22
000425.txt,0.0,176.73,66.12,327.35,-2.35,-8.65,1.75,8.18
000425.txt,295.74,180.98,380.71,228.13,3.03,-8.9,1.71,23.5
000429.txt,724.05,177.24,844.27,255.98,-1.79,3.64,1.61,15.96
000430.txt,135.32,203.34,238.63,279.26,1.71,-9.81,2.23,16.88
000432.txt,586.96,172.97,661.42,243.34,-1.58,0.3,1.59,17.99
000432.txt,699.25,168.37,831.18,228.19,-1.02,4.35,1.39,20.01
000432.txt,228.83,119.52,415.61,253.54,1.93,-7.26,1.79,19.23
000432.txt,334.17,181.96,402.07,214.96,1.91,-10.63,1.76,31.87
000432.txt,1061.63,180.61,1205.24,216.89,2.54,20.4,1.67,28.27
000438.txt,413.56,185.17,490.55,231.98,1.87,-5.46,1.93,25.17
000443.txt,689.39,178.57,803.99,260.29,-1.74,2.71,1.63,15.35
000443.txt,651.2,165.07,701.06,213.87,-1.69,2.68,1.62,30.23
000445.txt,589.09,173.69,649.29,222.7,-1.61,0.17,1.42,22.06
000445.txt,680.79,168.11,755.6,227.63,-1.76,2.99,1.46,20.77
000445.txt,591.88,171.81,629.99,206.58,-1.56,0.03,1.5,33.62
000449.txt,0.0,173.6,77.55,224.48,-0.88,-21.18,1.74,25.59
000459.txt,486.97,181.39,523.92,215.4,-1.5,-5.12,2.0,35.4
000459.txt,496.08,180.12,531.92,208.44,1.67,-5.58,1.99,42.08
000463.txt,959.99,200.24,1241.0,374.0,-2.32,3.04,1.65,2.99
000463.txt,465.03,175.99,483.17,211.02,1.43,-6.59,1.81,34.8
000463.txt,618.17,171.81,672.48,194.76,-0.81,2.5,1.5,50.88
000470.txt,455.86,175.66,517.73,200.78,-2.99,-8.23,1.82,48.27
000471.txt,290.01,181.53,352.91,200.92,0.13,-22.38,2.12,56.06
000472.txt,724.28,56.91,1030.16,322.72,-1.86,3.08,1.49,10.26
000472.txt,705.32,175.05,811.89,257.62,-1.74,3.11,1.67,16.02
000475.txt,471.97,178.16,513.17,210.58,1.72,-5.6,1.72,34.51
000479.txt,589.93,174.78,612.54,196.55,-1.56,-0.7,1.84,57.25
000480.txt,337.06,178.54,382.38,208.03,1.88,-19.04,2.58,55.04
000484.txt,658.55,180.71,700.88,216.04,-1.68,3.05,1.84,32.46
000485.txt,669.38,193.15,742.72,253.79,-1.69,2.55,2.07,20.12
000485.txt,537.75,190.22,574.24,222.99,1.64,-2.77,2.45,37.3
000488.txt,472.71,185.62,539.91,241.81,1.7,-3.11,1.93,21.93
000488.txt,658.58,179.47,798.55,228.1,-0.15,3.92,1.8,24.54
000490.txt,201.99,187.07,346.47,237.15,-0.66,-10.29,1.82,22.3
000492.txt,0.0,188.19,166.72,258.02,-0.99,-12.17,1.52,16.85
000501.txt,831.03,132.96,934.94,313.27,-1.97,3.22,1.55,8.79
000502.txt,763.8,163.11,1010.69,283.13,-1.03,4.36,1.43,11.19
000504.txt,818.63,175.69,1046.55,272.26,-0.2,5.47,1.62,12.73
000510.txt,711.88,179.06,756.95,215.9,-1.47,5.26,1.74,30.47
000511.txt,141.58,184.83,215.08,212.93,2.11,-22.93,2.04,38.43
000511.txt,242.21,182.35,285.78,204.55,1.97,-23.43,2.09,48.92
000512.txt,597.03,160.81,645.54,204.26,-1.49,1.03,2.13,53.97
000513.txt,668.5,174.27,735.15,201.33,-0.88,4.97,1.48,39.06
000516.txt,182.77,176.23,248.43,206.71,-1.06,-20.79,1.72,38.11
000517.txt,544.03,171.6,607.28,206.72,-1.22,-1.11,1.07,32.67
000518.txt,866.77,152.65,922.33,293.82,1.08,3.95,1.6,9.98
000519.txt,1014.31,186.89,1241.0,362.84,-0.74,5.86,1.66,7.23
000528.txt,626.07,184.14,658.56,206.53,1.72,2.19,2.2,48.61
000529.txt,325.05,173.77,454.53,227.77,-2.83,-8.15,1.96,26.83
000531.txt,111.11,165.36,302.2,263.49,-0.98,-9.46,1.91,17.37
000531.txt,1047.29,174.4,1241.0,243.93,-2.13,12.24,1.44,16.7
000535.txt,1094.9,184.37,1223.0,235.68,0.88,19.21,1.74,24.48
000535.txt,952.81,181.78,1068.72,234.32,-2.15,13.74,1.69,24.23
000535.txt,468.75,156.58,522.42,263.65,0.97,-2.27,1.47,13.18
000536.txt,552.14,170.62,713.78,326.37,-1.59,0.2,1.66,9.31
000537.txt,400.78,183.07,435.24,205.45,1.84,-17.63,2.91,66.42
000539.txt,153.65,185.68,222.96,217.59,2.07,-21.1,2.14,36.2
000541.txt,670.54,165.66,709.37,193.31,-1.21,7.84,1.94,70.33
000546.txt,1053.94,193.9,1218.11,320.55,-1.5,7.63,1.75,10.43
000548.txt,539.11,175.88,556.56,215.59,1.64,-2.86,1.9,32.95
000548.txt,459.66,183.9,513.63,218.78,1.73,-5.68,2.0,33.57
000553.txt,695.73,174.35,708.39,210.48,2.71,4.59,1.86,36.04
000554.txt,348.03,178.36,465.77,233.18,-2.86,-6.48,1.86,23.11
000557.txt,588.01,170.74,644.1,221.89,-1.58,0.44,1.2,23.83
000559.txt,682.41,155.76,757.41,330.93,-1.73,1.15,1.55,7.93
000560.txt,335.5,70.84,532.39,258.92,-1.37,-4.3,1.82,20.82
000564.txt,545.17,180.12,608.18,224.86,1.72,-1.12,1.7,25.18
000567.txt,849.64,172.93,996.64,284.1,-1.72,5.23,1.65,12.63
000571.txt,806.16,160.45,849.83,330.01,-1.74,2.41,1.48,7.62
000572.txt,0.0,196.0,108.23,312.26,-0.82,-8.42,1.58,8.8
000572.txt,343.09,180.82,452.57,247.16,-1.3,-5.24,1.39,18.34
000572.txt,535.4,165.73,559.72,193.04,-1.52,-5.79,0.7,69.81
000573.txt,462.89,175.59,523.3,198.93,2.74,-8.38,1.81,51.68
000577.txt,538.72,174.9,611.53,239.72,1.71,-1.03,1.91,22.58
000579.txt,601.35,162.13,640.83,203.66,-1.61,0.48,1.49,36.93
000579.txt,457.8,176.79,504.82,208.0,-1.43,-6.53,1.7,36.89
000579.txt,624.16,138.57,652.32,182.78,1.58,2.48,0.84,62.65
000582.txt,513.43,179.89,554.09,209.3,1.66,-3.9,1.78,37.21
000586.txt,668.86,170.58,761.35,208.94,-0.93,4.4,1.41,30.03
000587.txt,555.82,172.97,576.55,192.86,1.65,-3.89,1.74,64.28
000590.txt,0.0,176.07,280.25,328.5,0.64,-5.97,1.72,8.74
000590.txt,754.73,192.17,976.41,340.58,-1.86,2.79,1.65,8.75
000591.txt,0.0,200.34,101.96,374.0,2.55,-4.58,1.77,3.24
000594.txt,580.21,175.92,637.28,229.88,-1.56,-0.06,1.68,22.91
000595.txt,358.22,140.85,466.89,373.0,2.09,-1.68,1.49,5.98
000596.txt,272.63,172.05,303.98,248.69,-1.16,-7.42,1.69,16.56
000597.txt,955.32,144.92,1241.0,363.72,1.0,5.21,1.32,7.11
000599.txt,137.06,195.66,296.82,251.05,0.45,-11.72,2.24,21.61
000600.txt,531.17,177.28,556.28,199.05,-1.5,-4.98,1.02,56.23
000601.txt,191.53,162.18,267.43,220.21,2.06,-18.9,2.26,35.92
000603.txt,386.94,180.98,444.74,211.53,1.96,-9.95,1.54,37.46
000603.txt,701.98,174.7,793.54,240.71,-1.75,3.5,1.37,18.06
000612.txt,0.0,187.46,253.78,348.22,0.63,-6.27,1.67,7.56
000612.txt,0.0,179.85,306.55,301.34,-2.57,-6.62,1.63,9.98
000612.txt,702.66,190.76,818.27,269.08,-1.82,2.98,1.8,15.14
000618.txt,878.36,146.55,955.44,252.09,-1.98,5.64,1.38,13.48
000620.txt,1147.29,201.01,1241.0,374.0,-1.71,5.97,1.7,6.67
000621.txt,195.63,187.23,436.96,361.63,1.92,-3.47,1.91,9.18
000623.txt,442.93,184.32,507.01,225.6,1.79,-5.29,1.95,28.5
000625.txt,281.47,138.34,321.06,259.81,-1.6,-5.01,1.25,11.6
000626.txt,752.11,171.69,911.06,266.25,-1.84,3.75,1.43,13.13
000628.txt,1022.43,141.82,1144.04,174.98,-0.59,23.78,0.07,36.41
000629.txt,442.38,183.65,467.82,212.04,1.7,-9.16,2.26,42.64
000632.txt,564.18,171.16,659.68,208.96,2.52,0.09,1.53,32.33
000637.txt,802.42,176.8,1122.02,360.3,-1.98,3.42,1.47,7.64
000640.txt,467.44,175.52,547.77,234.95,-1.41,-2.39,1.27,18.85
000651.txt,583.23,179.47,637.6,223.67,-1.57,-0.03,1.6,24.26
000652.txt,568.48,175.9,624.57,230.19,-1.55,-0.44,1.73,23.22
000658.txt,401.46,180.6,462.4,219.44,1.8,-7.28,1.81,29.65
000661.txt,895.18,181.05,1037.74,254.94,-2.02,7.6,1.62,15.79
000667.txt,671.45,176.97,739.27,230.53,-1.67,2.74,1.6,21.71
000668.txt,837.18,176.05,957.38,233.84,1.97,8.0,1.54,20.02
000674.txt,705.11,176.13,825.04,258.62,-1.87,3.11,1.62,15.25
000675.txt,734.23,160.8,762.31,236.4,1.07,3.42,1.61,18.74
000679.txt,512.69,171.35,596.43,240.26,1.66,-1.06,1.27,17.71
000680.txt,339.4,189.01,529.49,308.59,1.91,-2.6,1.8,11.53
000682.txt,0.0,180.84,335.53,374.0,2.12,-3.59,1.57,5.21
000685.txt,62.36,196.22,282.69,314.79,1.94,-6.93,1.94,11.88
000685.txt,311.61,186.46,366.3,227.54,1.69,-10.36,1.96,27.66
000688.txt,52.92,184.24,162.46,228.17,2.17,-19.73,2.05,28.5
000691.txt,160.61,187.14,402.68,268.61,-2.7,-6.48,1.8,14.42
000692.txt,723.9,185.2,916.9,303.63,-1.85,2.75,1.56,10.47
000692.txt,269.22,177.27,455.49,243.38,0.39,-6.19,1.69,18.17
000694.txt,233.61,172.09,444.72,316.21,1.85,-3.35,1.53,9.52
000696.txt,520.38,178.73,569.99,220.77,1.65,-2.52,1.76,28.52
000696.txt,645.57,177.07,677.37,205.35,-1.63,3.08,1.92,44.07
000698.txt,846.84,154.86,871.48,196.98,-3.11,6.39,0.62,18.61
000702.txt,691.03,157.21,760.5,188.72,-1.92,11.26,1.51,71.9
000705.txt,722.18,171.65,738.93,235.03,2.92,3.11,1.61,18.84
000707.txt,360.9,189.01,501.88,280.68,1.82,-3.46,1.88,14.64
000708.txt,726.86,178.02,834.57,253.91,-1.78,3.67,1.64,16.25
000712.txt,237.51,193.43,343.42,256.34,1.84,-8.66,2.08,19.78
000714.txt,895.05,148.9,1037.69,292.52,-1.6,5.9,1.67,12.36
000714.txt,949.99,119.17,1014.86,202.35,1.52,17.89,1.3,35.04
000719.txt,0.0,183.24,130.96,372.41,-2.4,-6.67,1.63,6.52
000719.txt,444.19,174.8,546.31,206.65,0.2,-5.25,1.5,33.15
000720.txt,1122.97,213.3,1241.0,374.0,-2.17,5.01,1.58,5.94
000722.txt,865.88,186.74,890.53,219.55,-1.88,8.34,1.44,22.56
000724.txt,0.0,176.36,75.05,220.31,2.27,-21.16,1.61,25.72
000725.txt,493.42,184.16,531.29,211.84,-1.44,-5.21,1.38,39.45
000725.txt,536.4,174.13,556.06,196.14,-1.52,-6.36,1.1,74.65
000728.txt,467.5,184.4,515.93,218.42,1.74,-5.23,1.92,32.08
000735.txt,627.81,173.78,668.41,195.21,-2.01,2.81,1.64,54.34
000736.txt,656.22,175.32,712.7,221.36,-1.69,2.71,1.72,27.3
